시장명,시장유형,시장개설주기,취급품목,지역,상호명,업종대분류,업종중분류,업종소분류,도로명주소,거리(m),상가업소번호,경도,위도
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,로가디스,소매,섬유·의복·신발 소매,남성 의류 소매업,전라남도 여수시 통제영1길 7-1,48.8,MA010120220807918940,127.732190763955,34.740909485753
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,로또통신,소매,가전·통신 소매,핸드폰 소매업,전라남도 여수시 중앙로 43,0.0,MA010120220807921127,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,로즈마리,음식,한식,백반/한정식,전라남도 여수시 중앙로 48,72.0,MA010120220813915016,127.732728364038,34.7399597868704
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,롯데리나,음식,비알코올 ,카페,전라남도 여수시 중앙로 43,0.0,MA010120220807937379,127.732559229325,34.7405917814862
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,루나비스타,과학·기술,광고,광고 대행업,전라남도 여수시 진남상가길 32-3,130.7,MA010120220800233862,127.733354084368,34.7415695194558
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,루비,소매,섬유·의복·신발 소매,신발 소매업,전라남도 여수시 진남상가길 32,137.3,MA010120220814348743,127.733463356057,34.7415778753968
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,루이까스텔순천,소매,섬유·의복·신발 소매,가방 소매업,전라남도 순천시 황금2길 9,134.0,MA0106202201A0154025,127.485213317046,34.9543591908683
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,룩건,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 순천시 황금2길 5,108.3,MA010120220810045708,127.484632338062,34.9542353172506
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,룩앤슈,소매,섬유·의복·신발 소매,신발 소매업,전라남도 여수시 진남상가길 33-12,112.6,MA010120220807921941,127.733568962806,34.7411716112628
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,르꼬끄,소매,섬유·의복·신발 소매,기타 의류 소매업,전라남도 여수시 진남상가길 33-14,116.1,MA010120220807928029,127.733623478878,34.7411622689357
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,르본미용실,수리·개인,이용·미용,미용실,전라남도 여수시 통제영2길 12-17,124.4,MA010120220807909418,127.733840188113,34.7409716702637
중앙시장,상설장,매일,가공식품+의류+신발+가정용품+음식점+근린생활서비스,전남,리가토탈헤어클럽,수리·개인,이용·미용,미용실,전라남도 여수시 중앙로 31-2,125.8,MA010120220807906844,127.731183107799,34.7405639949467
중앙시장,상설장,매일,농산물+축산물+수산물+가공식품+의류+신발+가정용품+음식점,전남,리제헤어,수리·개인,이용·미용,미용실,전라남도 순천시 황금2길 5,108.3,MA0106202511A2143810,127.484632338062,34.9542353172506
